order,avg length,B_time,BPlus_time,BStar_time
1726,168877,6,5,6
1727,168877,6,5,6
1728,168877,6,5,6
1729,168877,6,5,6
1730,168877,6,5,6
1731,168877,6,5,6
1732,168877,6,5,6
1733,168877,6,5,6
1734,168877,6,5,6
1735,168877,6,5,6
1736,168877,6,6,6
1737,168877,6,5,6
1738,168877,6,5,6
1739,168877,6,5,7
1740,168877,6,6,6
1741,168877,6,5,6
1742,168877,6,5,6
1743,168877,6,5,6
1744,168877,6,5,6
1745,168877,6,5,6
1746,168877,6,5,6
1747,168877,6,5,6
1748,168877,6,5,6
1749,168877,6,5,6
1750,168877,6,5,6
1751,168877,6,5,6
1752,168877,6,5,6
1753,168877,6,5,6
1754,168877,6,5,6
1755,168877,6,5,6
1756,168877,6,5,6
1757,168877,6,5,6
1758,168877,6,5,6
1759,168877,6,5,6
1760,168877,6,5,6
1761,168877,6,5,6
1762,168877,6,5,6
1763,168877,6,5,6
1764,168877,6,5,6
1765,168877,6,5,6
1766,168877,6,5,6
1767,168877,6,5,6
1768,168877,6,5,6
1769,168877,6,5,6
1770,168877,6,5,6
1771,168877,6,5,6
1772,168877,6,5,6
1773,168877,6,5,6
1774,168877,6,5,6
1775,168877,6,5,6
1776,168877,6,5,6
1777,168877,6,5,6
1778,168877,6,5,6
1779,168877,6,5,6
1780,168877,6,5,6
1781,168877,6,5,6
1782,168877,6,5,6
1783,168877,6,5,6
1784,168877,6,5,6
1785,168877,6,5,6
1786,168877,6,5,6
1787,168877,6,5,6
1788,168877,6,5,6
1789,168877,6,5,6
1790,168877,6,5,6
1791,168877,6,5,6
1792,168877,6,5,6
1793,168877,6,5,6
1794,168877,6,5,6
1795,168877,6,5,6
1796,168877,6,5,6
1797,168877,6,5,6
1798,168877,6,6,6
1799,168877,6,5,6
1800,168877,6,5,6
1801,168877,6,5,6
1802,168877,6,5,6
1803,168877,6,5,6
1804,168877,6,5,6
1805,168877,6,5,6
1806,168877,6,5,6
1807,168877,6,5,6
1808,168877,6,6,7
1809,168877,6,5,6
1810,168877,6,5,6
1811,168877,6,5,6
1812,168877,6,5,6
1813,168877,6,5,6
1814,168877,6,5,6
1815,168877,6,5,6
1816,168877,6,5,6
1817,168877,6,5,6
1818,168877,6,5,6
1819,168877,6,5,6
1820,168877,6,5,6
1821,168877,6,5,6
1822,168877,6,5,6
1823,168877,6,5,6
1824,168877,6,5,6
1825,168877,6,5,6
1826,168877,6,5,6
1827,168877,6,5,6
1828,168877,6,5,6
1829,168877,6,5,6
1830,168877,6,5,6
1831,168877,6,6,6
1832,168877,6,5,6
1833,168877,6,5,6
1834,168877,6,5,6
1835,168877,6,5,6
1836,168877,6,5,6
1837,168877,6,5,6
1838,168877,6,5,6
1839,168877,6,5,6
1840,168877,6,5,6
1841,168877,6,5,6
1842,168877,6,5,6
1843,168877,6,5,6
1844,168877,6,5,6
1845,168877,6,5,6
1846,168877,6,5,6
1847,168877,6,5,6
1848,168877,6,5,6
1849,168877,6,5,6
1850,168877,6,5,6
1851,168877,6,5,6
1852,168877,6,5,6
1853,168877,6,6,6
1854,168877,6,5,6
1855,168877,6,5,6
1856,168877,6,5,6
