order,B_time,B_split,B_util,BPlus_time,BPlus_split,BPlus_util,BStar_time,BStar_split,BStar_util
1604,30,89,0.6851,30,88,0.693322,43,66,0.903538
1605,31,85,0.716153,29,87,0.700669,44,68,0.877539
1606,30,86,0.707574,29,86,0.708182,44,67,0.889521
1607,30,85,0.715262,30,87,0.699797,44,68,0.876447
1608,31,88,0.690989,30,87,0.699361,43,67,0.888415
1609,29,85,0.714372,30,86,0.706862,44,65,0.913977
1610,31,87,0.697885,29,87,0.698493,43,67,0.887311
1611,31,87,0.697452,29,87,0.698059,45,66,0.899612
1612,31,86,0.70494,31,86,0.705546,43,67,0.886211
1613,31,85,0.712601,29,86,0.705109,44,69,0.861059
1614,31,85,0.712159,31,86,0.704672,43,65,0.911145
1615,30,84,0.719994,30,85,0.712323,43,66,0.897384
1616,29,85,0.711278,30,84,0.720153,43,66,0.896829
1617,30,85,0.710838,29,85,0.711442,43,69,0.858929
1618,31,85,0.710399,30,84,0.719263,44,67,0.882924
1619,30,85,0.70996,30,85,0.710563,43,66,0.895167
1620,30,85,0.709522,31,85,0.710125,46,68,0.869414
1621,31,83,0.725768,30,84,0.717932,44,67,0.88129
1622,30,83,0.725321,30,83,0.725923,43,66,0.893511
1623,30,83,0.724874,29,84,0.717047,42,64,0.919616
1624,31,83,0.724428,30,83,0.725029,43,67,0.879662
1625,31,83,0.723982,30,83,0.724583,44,66,0.891862
1626,32,83,0.723537,30,83,0.724137,44,67,0.87858
1627,31,82,0.7317,30,83,0.723692,42,66,0.890765
1628,29,82,0.731251,29,82,0.73185,44,67,0.877501
1629,29,83,0.722204,29,82,0.731401,44,66,0.889672
1630,30,82,0.730353,30,82,0.730952,43,68,0.86408
1631,32,79,0.756939,30,80,0.748306,49,67,0.875887
1632,34,80,0.74725,30,79,0.757073,45,67,0.87535
1633,31,79,0.756012,30,80,0.74739,44,67,0.874814
1634,31,82,0.728566,30,82,0.729163,43,65,0.899993
1635,34,81,0.736893,31,81,0.737489,45,65,0.899442
1636,32,80,0.745423,32,80,0.746019,45,67,0.87321
1637,36,80,0.744968,36,80,0.745564,47,65,0.898343
1638,34,80,0.744513,32,80,0.745109,49,65,0.897795
1639,30,80,0.744059,30,80,0.744654,46,64,0.910639
1640,35,80,0.743605,34,82,0.726495,50,67,0.87108
1641,34,79,0.752327,33,80,0.743746,48,65,0.896154
1642,33,79,0.751868,34,78,0.761861,46,65,0.895608
1643,32,79,0.751411,31,79,0.752004,46,64,0.908422
1644,31,79,0.750954,31,80,0.742389,45,66,0.881554
1645,31,80,0.741345,29,80,0.741938,45,64,0.907318
1646,30,80,0.740894,30,80,0.741487,42,65,0.893431
1647,31,78,0.758956,30,78,0.759548,45,68,0.855161
1648,30,79,0.749131,28,78,0.759087,47,65,0.892347
1649,32,78,0.758035,30,77,0.768222,47,64,0.905117
1650,32,78,0.757576,29,80,0.73969,45,65,0.891266
1651,31,77,0.766701,30,78,0.757707,48,66,0.877817
1652,33,77,0.766237,31,79,0.747908,45,64,0.903473
1653,29,77,0.765773,31,76,0.77618,44,67,0.86423
1654,30,76,0.775122,30,76,0.775711,45,65,0.88911
1655,29,76,0.774653,32,76,0.775242,51,65,0.888573
1656,32,75,0.78424,31,75,0.784828,48,65,0.888036
1657,33,76,0.773718,31,74,0.794667,53,65,0.8875
1658,33,74,0.7936,31,75,0.783881,47,66,0.874111
1659,32,74,0.793122,30,75,0.783409,47,66,0.873584
1660,34,73,0.803213,32,74,0.793231,48,64,0.899119
1661,35,75,0.781879,31,74,0.792753,46,64,0.898578
1662,33,70,0.835673,31,73,0.802832,45,65,0.88483
1663,31,73,0.801764,30,74,0.7918,44,67,0.859033
1664,32,70,0.834669,29,70,0.835253,44,63,0.910548
1665,31,72,0.811622,31,72,0.812207,44,66,0.870436
1666,30,72,0.811135,31,72,0.811719,43,65,0.882706
1667,30,69,0.844901,30,69,0.845484,43,64,0.895343
1668,30,72,0.810163,29,70,0.83325,45,63,0.908364
1669,31,70,0.832168,30,69,0.844471,43,65,0.881119
1670,30,69,0.843384,31,71,0.82086,42,65,0.880592
1671,29,71,0.819786,29,71,0.820368,44,64,0.8932
1672,30,68,0.854409,30,70,0.831257,44,63,0.906191
1673,30,68,0.853898,29,69,0.842452,44,64,0.892132
1674,31,69,0.841368,30,68,0.853968,46,64,0.891599
1675,34,67,0.865239,30,68,0.853458,43,68,0.840866
1676,32,68,0.85237,31,67,0.865302,44,65,0.877439
1677,30,68,0.851861,29,69,0.840443,42,64,0.890004
1678,30,67,0.863692,30,67,0.864271,45,64,0.889474
1679,31,68,0.850847,32,68,0.851425,47,64,0.888944
1680,32,67,0.862664,32,68,0.850918,45,64,0.888415
1681,33,67,0.862151,31,66,0.875407,44,65,0.874829
1682,30,67,0.861638,33,67,0.862215,46,65,0.874309
1683,33,67,0.861126,33,67,0.861703,45,64,0.886831
1684,33,66,0.873271,31,67,0.861191,45,64,0.886305
1685,33,67,0.860104,32,67,0.86068,46,63,0.8992
1686,31,66,0.872235,29,67,0.86017,44,66,0.859594
1687,31,66,0.871718,31,67,0.85966,44,65,0.871718
1688,33,66,0.871202,31,66,0.871777,45,63,0.897602
1689,31,66,0.870686,30,66,0.87126,48,61,0.925104
1690,32,66,0.870171,32,66,0.870745,50,64,0.883158
1691,34,66,0.869656,32,66,0.87023,43,64,0.882636
1692,32,65,0.882114,30,65,0.882688,47,64,0.882114
1693,31,65,0.881593,31,66,0.869202,44,64,0.881593
1694,30,65,0.881073,31,65,0.881645,46,64,0.881073
1695,32,65,0.880553,29,66,0.868176,44,62,0.907647
1696,31,65,0.880034,31,65,0.880606,44,62,0.907112
1697,31,65,0.879515,29,66,0.867153,47,64,0.879515
1698,32,65,0.878997,30,65,0.879569,49,64,0.878997
1699,32,65,0.87848,31,65,0.879051,46,64,0.87848
1700,32,65,0.877963,30,65,0.878534,44,63,0.891266
1701,31,65,0.877447,31,65,0.878017,46,65,0.864543
1702,31,65,0.876931,29,65,0.877501,43,65,0.864035
1703,33,64,0.889696,29,65,0.876986,46,62,0.903383
1704,32,64,0.889173,31,65,0.876472,46,64,0.875902
1705,32,65,0.875388,31,65,0.875957,46,64,0.875388
1706,32,65,0.874875,30,65,0.875444,44,61,0.915885
1707,31,64,0.887611,30,65,0.874931,46,63,0.887611
1708,32,64,0.887091,30,64,0.887659,45,63,0.887091
1709,31,64,0.886572,30,65,0.873907,44,62,0.900212
1710,32,64,0.886054,30,64,0.886621,44,65,0.859993
1711,31,64,0.885536,31,65,0.872886,45,63,0.885536
1712,31,64,0.885018,30,64,0.885585,44,61,0.912675
1713,29,64,0.884502,30,65,0.871867,44,61,0.912142
1714,30,64,0.883986,29,64,0.884551,50,63,0.883986
1715,32,64,0.88347,31,64,0.884036,46,62,0.897062
1716,31,64,0.882955,31,64,0.883521,45,63,0.882955
1717,31,64,0.882441,30,64,0.883006,46,64,0.86927
1718,32,64,0.881928,31,64,0.882492,45,63,0.881928
1719,29,64,0.881414,30,64,0.881979,46,64,0.868259
1720,39,64,0.880902,38,64,0.881466,47,64,0.867754
1721,33,64,0.88039,32,64,0.880954,49,62,0.893935
1722,32,64,0.879879,32,64,0.880442,50,64,0.866746
1723,31,64,0.879368,28,64,0.879931,45,64,0.866243
1724,31,65,0.865741,30,65,0.866304,44,62,0.892379
1725,30,65,0.865239,29,65,0.865801,43,61,0.905797
1726,31,65,0.864738,30,65,0.8653,45,61,0.905272
1727,32,65,0.864237,30,65,0.864799,47,63,0.877332
1728,31,65,0.863737,31,65,0.864298,44,63,0.876824
